% Model,LymphNode_2D_Model(1).mph
% Version,COMSOL 6.0.0.312
% Date,"Sep 2 2022, 14:26"
% Table,Accumulated Probe Table 3 - 
% p_diric_aff,lmda,Time (s),"Dependent variable c, Sink Flux","Dependent variable c, Source Flux","Dependent variable p (m^2), Total Concentration"
1.5,0.7000000000000001,196.60000000000002,-1.0599073279721137E-24,0,-1.6459818260068346E-23
1.5,0.7000000000000001,196.8,-1.0394345731766415E-24,0,-1.614128164938755E-23
1.5,0.7000000000000001,197,-1.0189618183811713E-24,0,-1.582274503870673E-23
1.5,0.7000000000000001,197.20000000000002,-9.984890635856975E-25,0,-1.550420842802592E-23
1.5,0.7000000000000001,197.4,-9.780163087902253E-25,0,-1.518567181734511E-23
1.5,0.7000000000000001,197.60000000000002,-9.575435539947523E-25,0,-1.4867135206664298E-23
1.5,0.7000000000000001,197.8,-9.370707991992807E-25,0,-1.454859859598351E-23
1.5,0.7000000000000001,198,-9.1659804440381E-25,0,-1.4230061985302725E-23
1.5,0.7000000000000001,198.20000000000002,-8.961252896083348E-25,0,-1.3911525374621873E-23
1.5,0.7000000000000001,198.4,-8.756525348128649E-25,0,-1.3592988763941105E-23
1.5,0.7000000000000001,198.60000000000002,-8.55179780017391E-25,0,-1.3274452153260256E-23
1.5,0.7000000000000001,198.8,-8.347070252219193E-25,0,-1.2955915542579478E-23
1.5,0.7000000000000001,199,-8.142342704264483E-25,0,-1.2637378931898671E-23
1.5,0.7000000000000001,199.20000000000002,-7.937615156309745E-25,0,-1.2318842321217858E-23
1.5,0.7000000000000001,199.4,-7.7328876083550385E-25,0,-1.200030571053707E-23
1.5,0.7000000000000001,199.60000000000002,-7.528160060400291E-25,0,-1.1681769099856227E-23
1.5,0.7000000000000001,199.8,-7.32343251244558E-25,0,-1.1363232489175433E-23
1.5,0.7000000000000001,200,-7.11870496449087E-25,0,-1.1044695878494665E-23
1.5,0.7000000000000001,200.20000000000002,-6.913977416536124E-25,0,-1.0726159267813794E-23
1.5,0.7000000000000001,200.4,-6.7092498685814145E-25,0,-1.0407622657133022E-23
1.5,0.7000000000000001,200.60000000000002,-6.504522320626677E-25,0,-1.0089086046452208E-23
1.5,0.7000000000000001,200.8,-6.299794772671969E-25,0,-9.7705494357714E-24
1.5,0.7000000000000001,201,-6.095067224717261E-25,0,-9.452012825090614E-24
1.5,0.7000000000000001,201.20000000000002,-5.890339676762514E-25,0,-9.133476214409773E-24
1.5,0.7000000000000001,201.4,-5.6856121288078025E-25,0,-8.814939603728975E-24
1.5,0.7000000000000001,201.60000000000002,-5.480884580853056E-25,0,-8.496402993048153E-24
1.5,0.7000000000000001,201.8,-5.276157032898354E-25,0,-8.177866382367365E-24
1.5,0.7000000000000001,202,-5.071429484943642E-25,0,-7.859329771686572E-24
1.5,0.7000000000000001,202.20000000000002,-4.8667019369889E-25,0,-7.540793161005744E-24
1.5,0.7000000000000001,202.4,-4.661974389034189E-25,0,-7.222256550324944E-24
1.5,0.7000000000000001,202.60000000000002,-4.4572468410794535E-25,0,-6.903719939644114E-24
1.5,0.7000000000000001,202.8,-4.252519293124739E-25,0,-6.585183328963331E-24
1.5,0.7000000000000001,203,-4.0477917451700298E-25,0,-6.266646718282539E-24
1.5,0.7000000000000001,203.20000000000002,-3.8430641972152855E-25,0,-5.948110107601691E-24
1.5,0.7000000000000001,203.4,-3.638336649260577E-25,0,-5.629573496920905E-24
1.5,0.7000000000000001,203.60000000000002,-3.4336091013058387E-25,0,-5.311036886240076E-24
1.5,0.7000000000000001,203.8,-3.228881553351122E-25,0,-4.9925002755592945E-24
1.5,0.7000000000000001,204,-3.0241540053964113E-25,0,-4.673963664878495E-24
1.5,0.7000000000000001,204.20000000000002,-2.819426457441671E-25,0,-4.355427054197666E-24
1.5,0.7000000000000001,204.4,-2.614698909486964E-25,0,-4.036890443516868E-24
1.5,0.7000000000000001,204.60000000000002,-2.4099713615322203E-25,0,-3.718353832836044E-24
1.5,0.7000000000000001,204.8,-2.2052438135775095E-25,0,-3.399817222155249E-24
1.5,0.7000000000000001,205,-2.0005162656227974E-25,0,-3.081280611474464E-24
1.5,0.7000000000000001,205.20000000000002,-1.7957887176680587E-25,0,-2.7627440007936274E-24
1.5,0.7000000000000001,205.4,-1.5910611697133468E-25,0,-2.4442073901128413E-24
1.5,0.7000000000000001,205.60000000000002,-1.386333621758607E-25,0,-2.1256707794319987E-24
1.5,0.7000000000000001,205.8,-1.349774351122563E-25,0,-2.068985620168834E-24
1.5,0.7000000000000001,206,-1.3394507923231422E-25,0,-2.0531515615587145E-24
1.5,0.7000000000000001,206.20000000000002,-1.329127233523722E-25,0,-2.037317502948594E-24
1.5,0.7000000000000001,206.4,-1.3188036747243033E-25,0,-2.0214834443384734E-24
1.5,0.7000000000000001,206.60000000000002,-1.3084801159248818E-25,0,-2.0056493857283545E-24
1.5,0.7000000000000001,206.8,-1.2981565571254636E-25,0,-1.9898153271182308E-24
1.5,0.7000000000000001,207,-1.2878329983260438E-25,0,-1.9739812685081166E-24
1.5,0.7000000000000001,207.20000000000002,-1.277509439526624E-25,0,-1.9581472098979955E-24
1.5,0.7000000000000001,207.4,-1.2671858807272048E-25,0,-1.9423131512878763E-24
1.5,0.7000000000000001,207.60000000000002,-1.2568623219277838E-25,0,-1.926479092677753E-24
1.5,0.7000000000000001,207.8,-1.2465387631283656E-25,0,-1.910645034067638E-24
1.5,0.7000000000000001,208,-1.2362152043289462E-25,0,-1.8948109754575196E-24
1.5,0.7000000000000001,208.20000000000002,-1.2258916455295262E-25,0,-1.878976916847396E-24
1.5,0.7000000000000001,208.4,-1.2155680867301065E-25,0,-1.8631428582372777E-24
1.5,0.7000000000000001,208.60000000000002,-1.205244527930686E-25,0,-1.847308799627158E-24
1.5,0.7000000000000001,208.8,-1.1949209691312655E-25,0,-1.831474741017036E-24
1.5,0.7000000000000001,209,-1.1845974103318466E-25,0,-1.815640682406923E-24
1.5,0.7000000000000001,209.20000000000002,-1.1742738515324268E-25,0,-1.799806623796799E-24
1.5,0.7000000000000001,209.4,-1.163950292733007E-25,0,-1.783972565186679E-24
1.5,0.7000000000000001,209.60000000000002,-1.1536267339335869E-25,0,-1.7681385065765603E-24
