p_diric_aff,lmda,Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
0.75,0.25,31,0.001138794291605153,0,0.010618346787276845
0.75,0.25,32,9.16940558334275E-4,0,0.007038692248288484
0.75,0.25,33,7.030110590814704E-4,0,0.004964724846828964
0.75,0.25,34,5.268812158581917E-4,0,0.003639055237925153
0.75,0.25,35,3.922697608412684E-4,0,0.0026831579225144266
0.75,0.25,36,2.8156118651725753E-4,0,0.001928476395862854
0.75,0.25,37,1.9894560692260767E-4,0,0.001384896569559437
0.75,0.25,38,1.3906224325961473E-4,0,9.97156380112728E-4
0.75,0.25,39,9.651860479580411E-5,0,7.207720660653424E-4
0.75,0.25,40,6.695775215177844E-5,0,5.246425732200842E-4
0.75,0.25,41,4.6150041387467594E-5,0,3.8211548301821644E-4
0.75,0.25,42,3.197666330506707E-5,0,2.8045698312122186E-4
0.75,0.25,43,2.144546207169926E-5,0,2.0156809612776862E-4
0.75,0.25,44,1.395702273925973E-5,0,1.4213884417792102E-4
0.75,0.25,45,8.785461486649579E-6,0,9.844177193109369E-5
0.75,0.25,46,5.491853855387529E-6,0,6.797497403966518E-5
0.75,0.25,47,3.310533896506406E-6,0,4.609468785377266E-5
0.75,0.25,48,2.0961600738128016E-6,0,3.1837203478438905E-5
0.75,0.25,49,1.386574663500661E-6,0,2.2281326534687868E-5
0.75,0.25,50,9.429099011529019E-7,0,1.5690769265501428E-5
0.75,0.25,51,6.604846626577925E-7,0,1.1147196166022242E-5
0.75,0.25,52,4.6592758152739575E-7,0,7.910295542350447E-6
0.75,0.25,53,3.26796823979404E-7,0,5.594291552598623E-6
0.75,0.25,54,2.288247714939549E-7,0,3.967286594986064E-6
0.75,0.25,55,1.5740973597127976E-7,0,2.787159175021828E-6
0.75,0.25,56,1.0598663092500311E-7,0,1.9328009919484396E-6
0.75,0.25,57,7.003813783662878E-8,0,1.3287741870494048E-6
0.75,0.25,58,4.7174430667419856E-8,0,9.349123087608855E-7
0.75,0.25,59,3.030380666517743E-8,0,6.363283030868442E-7
0.75,0.25,60,2.0032990273889885E-8,0,4.4414549312369384E-7
0.75,0.25,61,1.354098567931973E-8,0,3.1438170006214534E-7
0.75,0.25,62,9.120491739207752E-9,0,2.2136207295269395E-7
0.75,0.25,63,6.435046278930051E-9,0,1.5978612994445253E-7
0.75,0.25,64,4.627990225497829E-9,0,1.1610245116598718E-7
