% Model,LymphNode_2D_Model(1).mph
% Version,COMSOL 6.0.0.312
% Date,"Sep 6 2022, 13:51"
% Table,Accumulated Probe Table 2 - 
% p_diric_aff,lmda,Time (s),"Dependent variable c, Sink Flux","Dependent variable c, Source Flux","Dependent variable p (m^2), Total Concentration"
1.25,0,94.30000000000001,7.001245229882144E-5,0,0.0011379846250953523
1.25,0,94.4,6.958503944610814E-5,0,0.0011310157389136223
1.25,0,94.5,6.915992684963692E-5,0,0.0011240835434046762
1.25,0,94.60000000000001,6.873773750923386E-5,0,0.0011171996753312511
1.25,0,94.7,6.831844437871528E-5,0,0.0011103636732123726
1.25,0,94.80000000000001,6.790202041189707E-5,0,0.0011035750755670616
1.25,0,94.9,6.748843856259569E-5,0,0.00109683342091434
1.25,0,95,6.707767178462739E-5,0,0.001090138247773237
1.25,0,95.10000000000001,6.666969303180822E-5,0,0.0010834890946627713
1.25,0,95.2,6.62644752579545E-5,0,0.0010768855001019677
1.25,0,95.30000000000001,6.58619914168824E-5,0,0.0010703270026098486
1.25,0,95.4,6.546221446240827E-5,0,0.0010638131407054413
1.25,0,95.5,6.506511734834826E-5,0,0.0010573434529077645
1.25,0,95.60000000000001,6.467067302851847E-5,0,0.0010509174777358445
1.25,0,95.7,6.427885445673547E-5,0,0.001044534753708704
1.25,0,95.80000000000001,6.388963458681502E-5,0,0.0010381948193453677
1.25,0,95.9,6.350298637257372E-5,0,0.0010318972131648561
1.25,0,96,6.311888276782763E-5,0,0.0010256414736861965
1.25,0,96.10000000000001,6.273729672639299E-5,0,0.0010194271394284094
1.25,0,96.2,6.235820120208605E-5,0,0.0010132537489105213
1.25,0,96.30000000000001,6.198156914872296E-5,0,0.0010071208406515508
1.25,0,96.4,6.160737352012012E-5,0,0.001001027953170526
1.25,0,96.5,6.123558727009352E-5,0,9.949746249864693E-4
1.25,0,96.60000000000001,6.086618335245959E-5,0,9.88960394618403E-4
1.25,0,96.7,6.0499134721034436E-5,0,9.829848005853527E-4
1.25,0,96.80000000000001,6.0134414329634245E-5,0,9.77047381406339E-4
1.25,0,96.9,5.9771995132075445E-5,0,9.711476756003879E-4
1.25,0,97,5.941185008217401E-5,0,9.652852216865222E-4
1.25,0,97.10000000000001,5.9053952133746254E-5,0,9.594595581837639E-4
1.25,0,97.2,5.869827424060852E-5,0,9.536702236111382E-4
1.25,0,97.30000000000001,5.8344789356576755E-5,0,9.479167564876677E-4
1.25,0,97.4,5.799347043546764E-5,0,9.421986953323778E-4
1.25,0,97.5,5.764429043109695E-5,0,9.365155786642901E-4
1.25,0,97.60000000000001,5.729722229728107E-5,0,9.308669450024279E-4
1.25,0,97.7,5.695223898783636E-5,0,9.252523328658173E-4
1.25,0,97.80000000000001,5.660931345657877E-5,0,9.196712807734773E-4
1.25,0,97.9,5.626841865732482E-5,0,9.141233272444371E-4
1.25,0,98,5.592952754389045E-5,0,9.086080107977137E-4
1.25,0,98.10000000000001,5.559261307009212E-5,0,9.031248699523366E-4
1.25,0,98.2,5.525764818974589E-5,0,8.97673443227326E-4
1.25,0,98.30000000000001,5.492460585666807E-5,0,8.922532691417048E-4
1.25,0,98.4,5.4593459024674876E-5,0,8.868638862144989E-4
1.25,0,98.5,5.426418064758257E-5,0,8.815048329647297E-4
1.25,0,98.60000000000001,5.3936743679207246E-5,0,8.761756479114236E-4
1.25,0,98.7,5.3611121073365233E-5,0,8.708758695735999E-4
1.25,0,98.80000000000001,5.328728578387273E-5,0,8.656050364702872E-4
1.25,0,98.9,5.296521076454596E-5,0,8.603626871205034E-4
1.25,0,99,5.2644868969201154E-5,0,8.55148360043276E-4
1.25,0,99.10000000000001,5.232623335165451E-5,0,8.499615937576271E-4
1.25,0,99.2,5.20092768657223E-5,0,8.448019267825816E-4
1.25,0,99.30000000000001,5.169397246522071E-5,0,8.396688976371588E-4
1.25,0,99.4,5.1380293103965984E-5,0,8.345620448403883E-4
1.25,0,99.5,5.106821173577432E-5,0,8.294809069112898E-4
1.25,0,99.60000000000001,5.0757701314461964E-5,0,8.244250223688865E-4
1.25,0,99.7,5.044873479384517E-5,0,8.19393929732204E-4
1.25,0,99.80000000000001,5.014128512774004E-5,0,8.143871675202642E-4
1.25,0,99.9,4.9829990337209076E-5,0,8.093189219020456E-4
1.25,0,100,4.951569528023867E-5,0,8.042030981281514E-4
1.25,0,100.10000000000001,4.920301208707861E-5,0,7.991136055248497E-4
1.25,0,100.2,4.889194075772913E-5,0,7.940504440921386E-4
1.25,0,100.30000000000001,4.858248129219012E-5,0,7.890136138300209E-4
1.25,0,100.4,4.8274633690461615E-5,0,7.840031147384953E-4
1.25,0,100.5,4.796839795254357E-5,0,7.790189468175606E-4
1.25,0,100.60000000000001,4.766377407843598E-5,0,7.740611100672182E-4
1.25,0,100.7,4.7360762068138974E-5,0,7.691296044874685E-4
1.25,0,100.80000000000001,4.705936192165239E-5,0,7.642244300783093E-4
1.25,0,100.9,4.6759573638976304E-5,0,7.593455868397436E-4
1.25,0,101,4.646139722011075E-5,0,7.544930747717687E-4
1.25,0,101.10000000000001,4.6164832665055586E-5,0,7.496668938743865E-4
1.25,0,101.2,4.5869879973810945E-5,0,7.448670441475965E-4
1.25,0,101.30000000000001,4.557653914637679E-5,0,7.400935255913991E-4
1.25,0,101.4,4.5284810182753136E-5,0,7.35346338205793E-4
1.25,0,101.5,4.499469308293999E-5,0,7.306254819907778E-4
1.25,0,101.60000000000001,4.470618784693726E-5,0,7.259309569463565E-4
1.25,0,101.7,4.4419294474745094E-5,0,7.212627630725264E-4
1.25,0,101.80000000000001,4.413401296636332E-5,0,7.16620900369287E-4
1.25,0,101.9,4.385034332179213E-5,0,7.120053688366407E-4
1.25,0,102,4.356828554103142E-5,0,7.074161684745883E-4
1.25,0,102.10000000000001,4.328783962408108E-5,0,7.028532992831245E-4
1.25,0,102.2,4.300900557094132E-5,0,6.983167612622544E-4
1.25,0,102.30000000000001,4.2731783381612036E-5,0,6.938065544119766E-4
1.25,0,102.4,4.2456173056093254E-5,0,6.8932267873229E-4
1.25,0,102.5,4.218217459438497E-5,0,6.848651342231967E-4
1.25,0,102.60000000000001,4.1909787996487114E-5,0,6.804339208846936E-4
1.25,0,102.7,4.163901326239977E-5,0,6.760290387167844E-4
1.25,0,102.80000000000001,4.1369850392122914E-5,0,6.716504877194655E-4
1.25,0,102.9,4.1102299385656525E-5,0,6.672982678927385E-4
1.25,0,103,4.0836360243000645E-5,0,6.629723792366054E-4
1.25,0,103.10000000000001,4.057203296415522E-5,0,6.586728217510634E-4
1.25,0,103.2,4.030931754912034E-5,0,6.543995954361135E-4
1.25,0,103.30000000000001,4.004821399789585E-5,0,6.501527002917549E-4
1.25,0,103.4,3.9788722310481934E-5,0,6.459321363179886E-4
1.25,0,103.5,3.9530842486878535E-5,0,6.417379035148146E-4
1.25,0,103.60000000000001,3.9274574527085497E-5,0,6.375700018822317E-4
1.25,0,103.7,3.9019918431103034E-5,0,6.334284314202424E-4
1.25,0,103.80000000000001,3.876687419893097E-5,0,6.293131921288437E-4
1.25,0,103.9,3.8515441830569486E-5,0,6.252242840080379E-4
1.25,0,104,3.826562132601853E-5,0,6.211617070578247E-4
1.25,0,104.10000000000001,3.8017412685277856E-5,0,6.171254612782012E-4
1.25,0,104.2,3.777081590834782E-5,0,6.131155466691713E-4
1.25,0,104.30000000000001,3.752583099522825E-5,0,6.091319632307333E-4
1.25,0,104.4,3.728245794591918E-5,0,6.051747109628866E-4
1.25,0,104.5,3.704069676042059E-5,0,6.012437898656335E-4
1.25,0,104.60000000000001,3.680054743873242E-5,0,5.973391999389706E-4
1.25,0,104.7,3.656200998085478E-5,0,5.934609411829006E-4
1.25,0,104.80000000000001,3.6325084386787667E-5,0,5.896090135974219E-4
1.25,0,104.9,3.608977065653099E-5,0,5.857834171825368E-4
1.25,0,105,3.5856068790084825E-5,0,5.819841519382426E-4
1.25,0,105.10000000000001,3.5623978787449116E-5,0,5.782112178645393E-4
1.25,0,105.2,3.539350064862389E-5,0,5.744646149614294E-4
1.25,0,105.30000000000001,3.5164634373609196E-5,0,5.707443432289115E-4
1.25,0,105.4,3.493737996240497E-5,0,5.670504026669857E-4
1.25,0,105.5,3.4711737415011215E-5,0,5.633827932756521E-4
1.25,0,105.60000000000001,3.4487706731427934E-5,0,5.597415150549092E-4
1.25,0,105.7,3.426528791165517E-5,0,5.561265680047593E-4
1.25,0,105.80000000000001,3.404448095569285E-5,0,5.525379521252008E-4
1.25,0,105.9,3.382528586354109E-5,0,5.489756674162353E-4
1.25,0,106,3.360770263519972E-5,0,5.454397138778611E-4
1.25,0,106.10000000000001,3.3391731270668896E-5,0,5.41930091510079E-4
1.25,0,106.2,3.317737176994854E-5,0,5.38446800312889E-4
1.25,0,106.30000000000001,3.296462413303868E-5,0,5.349898402862906E-4
1.25,0,106.4,3.2753488359939324E-5,0,5.315592114302852E-4
1.25,0,106.5,3.254396445065044E-5,0,5.281549137448701E-4
1.25,0,106.60000000000001,3.2336052405172016E-5,0,5.247769472300485E-4
1.25,0,106.7,3.2129752223504104E-5,0,5.214253118858187E-4
1.25,0,106.80000000000001,3.1925063905646634E-5,0,5.181000077121806E-4
1.25,0,106.9,3.172198745159971E-5,0,5.14801034709135E-4
1.25,0,107,3.1520522861363285E-5,0,5.115283928766803E-4
1.25,0,107.10000000000001,3.132067013493726E-5,0,5.082820822148182E-4
1.25,0,107.2,3.112242927232179E-5,0,5.050621027235487E-4
1.25,0,107.30000000000001,3.0925800273516745E-5,0,5.018684544028702E-4
1.25,0,107.4,3.0723894434156965E-5,0,4.985881761033213E-4
1.25,0,107.5,3.0517910231690815E-5,0,4.952409204885991E-4
1.25,0,107.60000000000001,3.0313211578459752E-5,0,4.919146451297549E-4
1.25,0,107.7,3.0109798474463668E-5,0,4.886093500267917E-4
1.25,0,107.80000000000001,2.9907670919702566E-5,0,4.8532503517970875E-4
1.25,0,107.9,2.97068289141765E-5,0,4.82061700588506E-4
1.25,0,108,2.9507272457885392E-5,0,4.788193462531844E-4
1.25,0,108.10000000000001,2.930900155082928E-5,0,4.755979721737417E-4
1.25,0,108.2,2.9112016193008216E-5,0,4.723975783501794E-4
1.25,0,108.30000000000001,2.8916316384422122E-5,0,4.692181647824978E-4
1.25,0,108.4,2.872190212507104E-5,0,4.66059731470697E-4
1.25,0,108.5,2.852877341495497E-5,0,4.629222784147758E-4
1.25,0,108.60000000000001,2.833693025407386E-5,0,4.5980580561473435E-4
1.25,0,108.7,2.8146372642427784E-5,0,4.5671031307057384E-4
1.25,0,108.80000000000001,2.7957100580016694E-5,0,4.5363580078229337E-4
1.25,0,108.9,2.7769114066840603E-5,0,4.505822687498935E-4
1.25,0,109,2.7582413102899545E-5,0,4.4754971697337335E-4
1.25,0,109.10000000000001,2.7396997688193454E-5,0,4.445381454527333E-4
1.25,0,109.2,2.7212867822722364E-5,0,4.415475541879743E-4
1.25,0,109.30000000000001,2.7030023506486268E-5,0,4.385779431790947E-4
1.25,0,109.4,2.68484647394852E-5,0,4.3562931242609594E-4
1.25,0,109.5,2.6668191521719117E-5,0,4.327016619289781E-4
1.25,0,109.60000000000001,2.6489203853188053E-5,0,4.297949916877392E-4
1.25,0,109.7,2.631150173389198E-5,0,4.269093017023805E-4
1.25,0,109.80000000000001,2.613508516383088E-5,0,4.240445919729033E-4
1.25,0,109.9,2.595995414300484E-5,0,4.212008624993055E-4
1.25,0,110,2.5786108671413763E-5,0,4.18378113281588E-4
1.25,0,110.10000000000001,2.5613548749057652E-5,0,4.155763443197505E-4
1.25,0,110.2,2.5442274375936618E-5,0,4.127955556137937E-4
1.25,0,110.30000000000001,2.5272285552050523E-5,0,4.100357471637173E-4
1.25,0,110.4,2.510358227739946E-5,0,4.072969189695208E-4
1.25,0,110.5,2.4936164551983398E-5,0,4.0457907103120426E-4
