% Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration","timeint(0,t,sourceFlux-sinkFlux)"
15.188107333727103,3.4836369268910077E-5,0.18848443949770563,0.37470412485461096,0.3747068128981459
15.303756091104438,3.9067638284766726E-5,0.1879847209155206,0.39648184916107565,0.3964837543679125
15.419404848481772,4.381672924916314E-5,0.18624076137702536,0.41812903453127964,0.418130148510832
15.535053605859106,4.914671447413259E-5,0.1832984842111821,0.43950385670954933,0.43950438850461554
15.65070236323644,5.512834758133166E-5,0.179233916183001,0.4604717843533208,0.4604719425366048
15.766351120613775,6.184096635261519E-5,0.1741490842982845,0.48090872888128783,0.4809086113140852
15.88199987799111,6.937346887062157E-5,0.16816672482614176,0.5007035944794282,0.500703239623813
15.997648635368444,7.782543730856568E-5,0.16142426056042714,0.5197603063309023,0.5197597630655246
16.11329739274578,8.731002842809945E-5,0.1540675279255719,0.5380012949434417,0.5379985464891994
16.228946150123114,9.795074245515776E-5,0.1462447058254891,0.5553618968483413,0.5553569967582894
16.34459490750045,1.0988669359868529E-4,0.13810082407102056,0.5717954650119873,0.5717895109914333
16.460243664877787,1.2327461872734614E-4,0.12977312685953912,0.587273051702743,0.5872668304032704
16.575892422255123,1.3829004646257002E-4,0.12138745360100685,0.6017811908977442,0.6017749198763235
16.69154117963246,1.5512901669532603E-4,0.11305569103500142,0.6153198430143542,0.6153134883355136
16.807189937009795,1.7401046344156995E-4,0.1048742586883146,0.6279007373499593,0.6278942763555789
16.92283869438713,1.9517895531248166E-4,0.09692352098034959,0.639545749924083,0.6395392211060587
17.038487451764468,2.1890762338821682E-4,0.089267975687372,0.6502851463406285,0.6502786017590478
17.154136209141804,2.4550129380463364E-4,0.08195704830129152,0.6601557744661151,0.6601492413724553
17.26978496651914,2.752998988306569E-4,0.07502632094143193,0.6691993510567931,0.6691928281482379
17.385433723896476,3.086822132339887E-4,0.06849903767970818,0.6774609266423225,0.677454394751504
17.501082481273812,3.460699299290621E-4,0.062387750155788825,0.6849875506255657,0.6849809814333413
17.61673123865115,3.8793207683626853E-4,0.05669599358039505,0.6918271323893348,0.6918204908843695
17.719525559496724,4.293925185935607E-4,0.05198607598073967,0.6973745723219461,0.6973616767435934
17.812040448257743,4.7044185511407036E-4,0.04802256281742702,0.7019640786513798,0.7019442377635906
17.904555337018763,5.153258737469216E-4,0.04431287294403675,0.7061930538933809,0.7061679435766042
17.997070225779783,5.644026623426328E-4,0.04084861588236757,0.7100849596450943,0.710055525716163
18.089585114540803,6.180576346813196E-4,0.037620261753584225,0.7136622186311585,0.7136288518307514
18.27461489206284,7.407509206942841E-4,0.03182929187585184,0.7199502167875867,0.7199153583699722
18.459644669584875,8.871098960997782E-4,0.026851842474080526,0.7252146704659012,0.7251821852577099
18.64467444710691,0.0010614237651688685,0.022597467373726383,0.7295956726443004,0.7295667198590193
18.829704224628948,0.001268642325903762,0.018978072219442168,0.7332144991771868,0.7331889205199563
19.014734002150984,0.0015144439947306217,0.015910876181897862,0.7361747141195428,0.7361519208294743
19.19976377967302,0.0018051961498856694,0.013320084917440038,0.7385656655071593,0.7385430519324309
19.384793557195056,0.002148203341630726,0.011137640461292491,0.740459637873912,0.7404350781369285
19.569823334717093,0.0025516364880044115,0.009303341720212306,0.7419152178337947,0.7418874194123629
19.939882889761165,0.003576451627682027,0.0064757140846717475,0.7436912608637497,0.7436521068124349
20.309942444805237,0.0049600785867767935,0.0044968005778622125,0.7441481862965439,0.74409336201086
20.68000199984931,0.006790910399261734,0.003117470284501717,0.7434016079282386,0.7433277785884739
21.050061554893382,0.009157660619163604,0.0021587566963289567,0.7414567222860107,0.7413601950339889
21.420121109937455,0.01213754848869175,0.0014936906542258376,0.7382326135594796,0.7381082155864599
21.790180664981527,0.015781175254581576,0.0010329500258608555,0.7335851052106167,0.7334256406284198
22.1602402200256,0.020097717515680846,7.140574317328737E-4,0.7273285452043668,0.727126915770591
22.530299775069672,0.025038345848812742,4.934839587336761E-4,0.7192663378799132,0.7190140368510234
22.900359330113744,0.03048882614886099,3.409841512404144E-4,0.7092189376095253,0.7089058102513551
23.270418885157817,0.03627293404914385,2.3558136698860292E-4,0.6970511041497832,0.6966654474365472
23.64047844020189,0.042167170321897866,1.627459125668868E-4,0.682694633127595,0.6822242321279938
24.01053799524596,0.047923836685916446,1.124225088614424E-4,0.6661641719921979,0.6655969734421703
24.380597550290034,0.05329770489623244,7.765662584535434E-5,0.6475630668911666,0.6468873928717065
24.750657105334106,0.058070693386276316,5.36403210631842E-5,0.6270787805527777,0.626283679234412
25.281454524190156,0.063531545050042,3.154964174344E-5,0.5949345649144907,0.5939548359202734
