p_diric_aff,lmda,Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
0.75,0.5,80,-1.421081851746969E-16,0,-2.6772979255110276E-15
0.75,0.5,85,-3.7686882098123566E-17,0,-7.259697688904949E-16
0.75,0.5,90,-1.0151715861604011E-17,0,-1.993597046021777E-16
0.75,0.5,95,-6.552215575724582E-18,0,-1.2888316919309213E-16
0.75,0.5,100,-2.9527152898451574E-18,0,-5.840663378400677E-17
0.75,0.5,105,-1.0687060506507146E-18,0,-2.1435082894204285E-17
0.75,0.5,110,-6.749211288186708E-19,0,-1.3568867634087028E-17
0.75,0.5,115,-2.811362069866272E-19,0,-5.7026523739697704E-18
0.75,0.5,120,-9.46874442141118E-20,0,-1.9625135055892402E-18
0.75,0.5,125,-8.834885263490799E-20,0,-1.806642468942865E-18
0.75,0.5,130,-8.201026105570427E-20,0,-1.6507714322964966E-18
0.75,0.5,135,-6.58789667958421E-20,0,-1.3168032920318575E-18
0.75,0.5,140,-4.1240881611237237E-20,0,-8.2812456019834635E-19
0.75,0.5,145,-1.6602796426632427E-20,0,-3.3944582836483167E-19
0.75,0.5,150,-5.105747518643561E-21,0,-1.0960842618669784E-19
0.75,0.75,0,0,0,0
0.75,0.75,5,4.930689990664442E-12,2.80230143576927E-5,2.492179902773334E-5
0.75,0.75,10,5.354684614052016E-10,0.004113780215981016,0.002699663215100345
0.75,0.75,15,1.1232278982473443E-8,0.1866186883677999,0.16117933106283777
0.75,0.75,20,4.762074038383586E-7,0.006104053382933334,0.043594001033408415
0.75,0.75,25,5.943060140641548E-6,4.1803896506466095E-5,0.0013901247443961356
0.75,0.75,30,1.123214679193377E-6,7.551051709254534E-9,4.992385047394015E-5
0.75,0.75,35,-1.4222808363996626E-8,0,-6.320522621980024E-7
0.75,0.75,40,-1.5049701574085975E-9,0,-1.6753007194801958E-8
0.75,0.75,45,-4.315500940556891E-11,0,-4.232842558974398E-10
0.75,0.75,50,-1.5389365605811016E-13,0,-1.3568465283694577E-12
0.75,0.75,55,-3.2998942889427644E-15,0,-4.670987624898827E-14
0.75,0.75,60,-2.5828154052537263E-16,0,-4.0748951770133475E-15
0.75,0.75,65,-3.937982053537745E-17,0,-6.476170545708504E-16
0.75,0.75,70,-1.6131606314406546E-17,0,-2.684076758066196E-16
0.75,0.75,75,-3.429942017777522E-18,0,-5.83863070569869E-17
0.75,0.75,80,-2.3135372441716687E-18,0,-3.941930429783186E-17
0.75,0.75,85,-1.197132470565816E-18,0,-2.0452301538676696E-17
0.75,0.75,90,-2.5582491655818777E-19,0,-4.454544260513588E-18
0.75,0.75,95,-1.7258475954630913E-19,0,-3.0076333450871072E-18
0.75,0.75,100,-8.934460253443011E-20,0,-1.5607224296606328E-18
0.75,0.75,105,-1.915562232568123E-20,0,-3.4029796859614363E-19
0.75,0.75,110,-1.292419285868383E-20,0,-2.297748685876308E-19
0.75,0.75,115,-6.692763391686417E-21,0,-1.1925176857911621E-19
0.75,0.75,120,-1.4381415770519074E-21,0,-2.602726282036396E-20
0.75,0.75,125,-9.70385033903736E-22,0,-1.757486123115557E-20
0.75,0.75,130,-5.026284907555631E-22,0,-9.12245964194718E-21
0.75,0.75,135,-1.0818325358422366E-22,0,-1.9928691928335604E-21
0.75,0.75,140,-7.300152518956712E-23,0,-1.345740968434771E-21
0.75,0.75,145,-3.7819796794910543E-23,0,-6.986127440359858E-22
0.75,0.75,150,-8.151348276724048E-24,0,-1.5275198491590633E-22
0.75,1,0,0,0,0
0.75,1,5,5.826602504380363E-13,2.80230143576927E-5,2.1052625618698232E-5
0.75,1,10,6.385356154757551E-11,0.004113780215981016,0.002306466679046305
0.75,1,15,1.342955938941011E-9,0.1866186883677999,0.13549703810077637
0.75,1,20,6.107595822923557E-8,0.006104053382933334,0.023408650351042243
0.75,1,25,5.103042614547435E-7,4.1803896506466095E-5,3.8111143834227795E-4
0.75,1,30,4.162415104105512E-8,7.551051709254534E-9,5.538532153681171E-6
0.75,1,35,2.374196229003953E-9,0,8.507039039477739E-8
0.75,1,40,-6.120836168190178E-12,0,-3.3559052200811775E-10
0.75,1,45,-9.411264802093151E-15,0,-3.201832684656688E-12
0.75,1,50,-5.933557733353589E-15,0,-8.062460720376134E-14
0.75,1,55,-3.1665781889064517E-16,0,-2.9141052563455707E-15
0.75,1,60,-2.9214896891418147E-17,0,-2.495724547058047E-16
0.75,1,65,-5.4014078555933224E-18,0,-4.5475766703305403E-17
0.75,1,70,-1.2243430434445169E-18,0,-1.0252541659800528E-17
0.75,1,75,-5.953954489609426E-19,0,-4.987301718148957E-18
0.75,1,80,-1.1870913492958588E-19,0,-9.964872041389283E-19
